train_id,axle_index,vehicle_index,t_ref_s,speed_at_ref_mps,load_kN
T3,98,24,628.1128,19.5,58.683
T3,99,24,628.2067,19.5,58.683
T3,100,24,628.559,19.5,58.683
T3,101,24,628.6528,19.5,58.683
T4,0,0,800.0,12.5,205.94
T4,1,0,800.1797,12.5449,205.94
T4,2,0,800.3587,12.5897,205.94
T4,3,0,800.7622,12.6905,205.94
T4,4,0,800.9392,12.7348,205.94
T4,5,0,801.1156,12.7789,205.94
T4,6,1,801.342,12.8355,138.575
T4,7,1,801.5286,12.8822,132.079
T4,8,1,802.7257,13.1814,138.531
T4,9,1,802.9075,13.2269,137.473
T4,10,2,803.2917,13.3229,139.404
T4,11,2,803.4715,13.3679,138.309
T4,12,2,804.626,13.6565,132.405
T4,13,2,804.8015,13.7004,137.375
T4,14,3,805.1725,13.7931,138.704
T4,15,3,805.3462,13.8365,134.563
T4,16,3,806.4624,14.1156,138.98
T4,17,3,806.6321,14.158,141.157
T4,18,4,806.9912,14.2478,136.342
T4,19,4,807.1594,14.2899,137.102
T4,20,4,808.2409,14.5602,137.375
T4,21,4,808.4055,14.6014,140.901
T4,22,5,808.7537,14.6884,135.16
T4,23,5,808.9169,14.7292,133.645
T4,24,5,809.9667,14.9917,131.789
T4,25,5,810.1265,15.0316,133.868
T4,26,6,810.4649,15.1162,134.514
T4,27,6,810.6234,15.1559,132.077
T4,28,6,811.6441,15.411,137.975
T4,29,6,811.7997,15.4499,129.078
T4,30,7,812.1289,15.5322,141.501
T4,31,7,812.2832,15.5708,132.149
T4,32,7,813.2772,15.8193,134.157
T4,33,7,813.4287,15.8572,139.477
T4,34,8,813.7495,15.9374,140.485
T4,35,8,813.8999,15.975,135.322
T4,36,8,814.8691,16.2173,141.782
T4,37,8,815.0169,16.2542,133.764
T4,38,9,815.3299,16.3325,137.313
T4,39,9,815.4767,16.3692,137.598
T4,40,9,816.4229,16.6057,138.666
T4,41,9,816.5673,16.6418,137.435
T4,42,10,816.873,16.7183,132.588
T4,43,10,817.0164,16.7541,142.004
T4,44,10,817.9412,16.9853,140.894
T4,45,10,818.0823,17.0206,137.722
T5,0,0,1139.0,17.0,205.94
T5,1,0,1139.1324,17.0,205.94
T5,2,0,1139.2647,17.0,205.94
T5,3,0,1139.5647,17.0,205.94
T5,4,0,1139.6971,17.0,205.94
T5,5,0,1139.8294,17.0,205.94
T5,6,1,1140.0,17.0,203.06
T5,7,1,1140.1076,17.0,203.06
T5,8,1,1140.5118,17.0,203.06
T5,9,1,1140.6194,17.0,203.06
T5,10,2,1140.7882,17.0,200.688
T5,11,2,1140.8959,17.0,200.688
T5,12,2,1141.3,17.0,200.688
T5,13,2,1141.4076,17.0,200.688
T5,14,3,1141.5765,17.0,61.339
T5,15,3,1141.6841,17.0,61.339
T5,16,3,1142.0882,17.0,61.339
T5,17,3,1142.1959,17.0,61.339
T5,18,4,1142.3647,17.0,188.494
T5,19,4,1142.4724,17.0,188.494
T5,20,4,1142.8765,17.0,188.494
T5,21,4,1142.9841,17.0,188.494
T5,22,5,1143.1529,17.0,193.672
T5,23,5,1143.2606,17.0,193.672
T5,24,5,1143.6647,17.0,193.672
T5,25,5,1143.7724,17.0,193.672
T5,26,6,1143.9412,17.0,56.546
T5,27,6,1144.0488,17.0,56.546
T5,28,6,1144.4529,17.0,56.546
T5,29,6,1144.5606,17.0,56.546
T5,30,7,1144.7294,17.0,57.346
T5,31,7,1144.8371,17.0,57.346
T5,32,7,1145.2412,17.0,57.346
T5,33,7,1145.3488,17.0,57.346
T5,34,8,1145.5176,17.0,57.316
T5,35,8,1145.6253,17.0,57.316
T5,36,8,1146.0294,17.0,57.316
T5,37,8,1146.1371,17.0,57.316
T5,38,9,1146.3059,17.0,196.872
T5,39,9,1146.4135,17.0,196.872
T5,40,9,1146.8176,17.0,196.872
T5,41,9,1146.9253,17.0,196.872
T5,42,10,1147.0941,17.0,190.232
T5,43,10,1147.2018,17.0,190.232
T5,44,10,1147.6059,17.0,190.232
T5,45,10,1147.7135,17.0,190.232
T5,46,11,1147.8824,17.0,196.165
T5,47,11,1147.99,17.0,196.165
T5,48,11,1148.3941,17.0,196.165
T5,49,11,1148.5018,17.0,196.165
T5,50,12,1148.6706,17.0,57.644
T5,51,12,1148.7782,17.0,57.644
T5,52,12,1149.1824,17.0,57.644
T5,53,12,1149.29,17.0,57.644
T5,54,13,1149.4588,17.0,197.503
T5,55,13,1149.5665,17.0,197.503
T5,56,13,1149.9706,17.0,197.503
T5,57,13,1150.0782,17.0,197.503
T5,58,14,1150.2471,17.0,186.107
T5,59,14,1150.3547,17.0,186.107
T5,60,14,1150.7588,17.0,186.107
T5,61,14,1150.8665,17.0,186.107
T5,62,15,1151.0353,17.0,58.143
T5,63,15,1151.1429,17.0,58.143
T5,64,15,1151.5471,17.0,58.143
T5,65,15,1151.6547,17.0,58.143
T5,66,16,1151.8235,17.0,58.753
T5,67,16,1151.9312,17.0,58.753
T5,68,16,1152.3353,17.0,58.753
T5,69,16,1152.4429,17.0,58.753
T5,70,17,1152.6118,17.0,58.5
T5,71,17,1152.7194,17.0,58.5
T5,72,17,1153.1235,17.0,58.5
T5,73,17,1153.2312,17.0,58.5
T5,74,18,1153.4,17.0,187.907
T5,75,18,1153.5076,17.0,187.907
T5,76,18,1153.9118,17.0,187.907
T5,77,18,1154.0194,17.0,187.907
T5,78,19,1154.1882,17.0,201.452
T5,79,19,1154.2959,17.0,201.452
T5,80,19,1154.7,17.0,201.452
T5,81,19,1154.8076,17.0,201.452
T5,82,20,1154.9765,17.0,188.619
T5,83,20,1155.0841,17.0,188.619
T5,84,20,1155.4882,17.0,188.619
T5,85,20,1155.5959,17.0,188.619
T6,0,0,1300.0,22.0,122.583
T6,1,0,1300.1091,22.0,122.583
T6,2,0,1300.8182,22.0,122.583
T6,3,0,1300.9273,22.0,122.583
T6R,0,0,1445.5909,22.0,122.583
T6R,1,0,1445.7,22.0,122.583
T6R,2,0,1446.4091,22.0,122.583
T6R,3,0,1446.5182,22.0,122.583
